name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft,Roof_Sq_M,Annual_kWh,Annual_MWh,Daily_kWh,Households_Powered,Households_1mi,Households_3mi,EV_Stations_1mi,EV_Stations_3mi,Priority_Score,Annual_Class_BP,Household_Class_BP,EV_Class_BP,Carbon_Reduction_kgCO2,Carbon_Reduction_tonsCO2,Estimated_System_kW,Estimated_System_MW,Estimated_Solar_Cost_USD,Estimated_Solar_Cost_Million_USD
Commercial on Northaven Road,commercial,"Dallas County, Texas",Northaven Road,32.899822326972675,-96.77267187,126444.2104389074,82188.74,7635.333946000001,2452469.0,2452.47,6719.1,186.5,8846,70054,3,26,0.147,Medium,Medium,Medium,821577.0,821.58,1527.07,1.527,3054140.0,3.054
Commercial on Greenville Avenue,commercial,"Dallas County, Texas",Greenville Avenue,32.87699266027331,-96.75949554,45669.40884727591,29685.12,2757.747648,885789.0,885.79,2426.8,67.4,12331,74963,5,17,0.1893,Medium,High,Medium,296739.0,296.74,551.55,0.552,1103100.0,1.103
Commercial on White Rock Trail,commercial,"Dallas County, Texas",White Rock Trail,32.87283115228481,-96.72949191,31378.22646715988,20395.85,1894.774465,608602.0,608.6,1667.4,46.3,6660,73883,2,14,0.103,Low,Medium,Low,203882.0,203.88,378.95,0.379,757900.0,0.758
Commercial on White Rock Trail,commercial,"Dallas County, Texas",White Rock Trail,32.87060130465827,-96.73017599,134792.99699680423,87615.45,8139.475304999999,2614399.0,2614.4,7162.7,198.8,6679,73030,2,16,0.1157,Medium,Medium,Low,875824.0,875.82,1627.9,1.628,3255800.0,3.256
Commercial on Valley Ranch Parkway West,commercial,"Dallas County, Texas",Valley Ranch Parkway West,32.92781816992456,-96.95902647,35755.81193844888,23241.28,2159.114912,693508.0,693.51,1900.0,52.7,8386,32373,3,22,0.1293,Low,Medium,Medium,232325.0,232.32,431.82,0.432,863640.0,0.864
Commercial on Maple Avenue,commercial,"Dallas County, Texas",Maple Avenue,32.82124992449322,-96.83744989,42165.36318501174,27407.49,2546.155821,817825.0,817.82,2240.6,62.2,9156,62596,16,92,0.1415,Low,Medium,High,273971.0,273.97,509.23,0.509,1018460.0,1.018
Commercial on Preston Road,commercial,"Dallas County, Texas",Preston Road,32.92203875,-96.80304951,25648.224752330803,16671.35,1548.7684149999998,497464.0,497.46,1362.9,37.8,5889,63650,9,49,0.0909,Low,Medium,Medium,166650.0,166.65,309.75,0.31,619500.0,0.62
Commercial on Noel Road,commercial,"Dallas County, Texas",Noel Road,32.92143190382637,-96.81433362,80365.22248416374,52237.39,4852.853531,1558737.0,1558.74,4270.5,118.5,7324,57203,10,44,0.1188,Medium,Medium,Medium,522177.0,522.18,970.57,0.971,1941140.0,1.941
Commercial on Churchill Way,commercial,"Dallas County, Texas",Churchill Way,32.91637013,-96.80251515,34081.515307710775,22152.98,2058.011842,661033.0,661.03,1811.0,50.3,4499,59837,2,40,0.0711,Low,Medium,Low,221446.0,221.45,411.6,0.412,823200.0,0.823
Commercial on West Campbell Road,commercial,"Dallas County, Texas",West Campbell Road,32.97740600367986,-96.76117332,50925.60234132106,33101.64,3075.142356,987736.0,987.74,2706.1,75.1,5639,52812,4,23,0.0902,Medium,Medium,Medium,330892.0,330.89,615.03,0.615,1230060.0,1.23
