name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft,Roof_Sq_M,Annual_kWh,Annual_MWh,Daily_kWh,Households_Powered,Households_1mi,Households_3mi,EV_Stations_1mi,EV_Stations_3mi,Priority_Score,Annual_Class_BP,Household_Class_BP,EV_Class_BP,Carbon_Reduction_kgCO2,Carbon_Reduction_tonsCO2,Estimated_System_kW,Estimated_System_MW,Estimated_Solar_Cost_USD,Estimated_Solar_Cost_Million_USD
Office on North Valley Parkway,office,"Denton County, Texas",North Valley Parkway,33.04742395,-97.02114915,22674.96474399693,14738.73,1369.228017,439796.0,439.8,1204.9,33.4,6681,40595,4,19,0.1023,Low,Medium,Medium,147332.0,147.33,273.85,0.274,547700.0,0.548
Retail on North Valley Parkway,retail,"Denton County, Texas",North Valley Parkway,33.04578540779503,-97.02002584,20863.44822996977,13561.24,1259.839196,404660.0,404.66,1108.7,30.8,6682,41406,4,19,0.1021,Low,Medium,Medium,135561.0,135.56,251.97,0.252,503940.0,0.504
Warehouse on North Stemmons Freeway,warehouse,"Denton County, Texas",North Stemmons Freeway,33.05087795049061,-97.01105692,29582.893335305285,19228.88,1786.362952,573780.0,573.78,1572.0,43.6,4846,36478,8,21,0.0758,Low,Medium,Medium,192216.0,192.22,357.27,0.357,714540.0,0.715
Warehouse on North Stemmons Freeway,warehouse,"Denton County, Texas",North Stemmons Freeway,33.05128785161538,-97.01131632,25111.03183467085,16322.17,1516.329593,487045.0,487.04,1334.4,37.0,4826,36238,8,21,0.0749,Low,Medium,Medium,163160.0,163.16,303.27,0.303,606540.0,0.607
Norman,warehouse,"Denton County, Texas",North Summit Avenue,33.05935488920214,-97.01553654,415872.65061267593,270317.22,25112.469738,8066125.0,8066.12,22099.0,613.3,4355,32469,8,16,0.1148,High,Medium,Medium,2702152.0,2702.15,5022.49,5.022,10044980.0,10.045
The Home Depot,retail,"Denton County, Texas",North Stemmons Freeway,33.05396348973795,-97.01288386,109311.9347241034,71052.76,6600.801403999999,2120177.0,2120.18,5808.7,161.2,4680,34772,8,20,0.0829,Medium,Medium,Medium,710259.0,710.26,1320.16,1.32,2640320.0,2.64
Retail on Valley Ridge Boulevard,retail,"Denton County, Texas",Valley Ridge Boulevard,33.05780113,-97.01750314,87259.52649,56718.69,5269.166301,1692456.0,1692.46,4636.9,128.7,4847,33719,7,16,0.0827,Medium,Medium,Medium,566973.0,566.97,1053.83,1.054,2107660.0,2.108
Lowe's,retail,"Denton County, Texas",North Stemmons Freeway,33.05758359,-97.01516423,163798.2173979138,106468.84,9890.955236,3176975.0,3176.98,8704.0,241.6,4537,33241,8,18,0.0873,High,Medium,Medium,1064287.0,1064.29,1978.19,1.978,3956380.0,3.956
Retail on Valley Ridge Boulevard,retail,"Denton County, Texas",Valley Ridge Boulevard,33.05767091316412,-97.01679671,24829.303933578125,16139.05,1499.3177449999998,481581.0,481.58,1319.4,36.6,4763,33607,7,16,0.074,Low,Medium,Medium,161330.0,161.33,299.86,0.3,599720.0,0.6
Warehouse on State Highway 114,warehouse,"Denton County, Texas",State Highway 114,33.03732949999999,-97.38751135,69738.33839052865,45329.92,4211.149568,1352621.0,1352.62,3705.8,102.8,401,3233,0,0,0.0143,Medium,Low,Low,453128.0,453.13,842.23,0.842,1684460.0,1.684
Office on South Edmonds Lane,office,"Denton County, Texas",South Edmonds Lane,32.996885200053605,-97.00706427,130086.7644560716,84556.4,7855.289559999999,2523119.0,2523.12,6912.7,191.8,4903,38686,2,19,0.0887,Medium,Medium,Low,845245.0,845.24,1571.06,1.571,3142120.0,3.142
Industrial on Patriot Drive,industrial,"Denton County, Texas",Patriot Drive,32.98792859313155,-97.02393558,506363.2983859206,329136.14,30576.747406,9821251.0,9821.25,26907.5,746.7,2383,34509,1,9,0.0962,High,Low,Low,3290119.0,3290.12,6115.35,6.115,12230700.0,12.231
Kim's USA Taekwondo,retail,"Denton County, Texas",West Round Grove Road,33.00622250000001,-97.00979445,20405.22690294532,13263.4,1232.16986,395773.0,395.77,1084.3,30.1,5652,41176,1,20,0.0867,Low,Medium,Low,132584.0,132.58,246.43,0.246,492860.0,0.493
Retail on North Josey Lane,retail,"Denton County, Texas",North Josey Lane,32.99817807,-96.88467213,64258.59830958476,41768.09,3880.255561,1246338.0,1246.34,3414.6,94.8,7764,59934,0,8,0.1234,Medium,Medium,Low,417523.0,417.52,776.05,0.776,1552100.0,1.552
Retail on Farm-to-Market Road 423,retail,"Denton County, Texas",Farm-to-Market Road 423,33.18104535748134,-96.88514389,31246.38672286973,20310.15,1886.812935,606044.0,606.04,1660.4,46.1,5978,33633,0,5,0.0928,Low,Medium,Low,203025.0,203.02,377.36,0.377,754720.0,0.755
Retail on Cross Timbers Road,retail,"Denton County, Texas",Cross Timbers Road,33.036605337716274,-97.07114324,21053.08750024529,13684.51,1271.290979,408339.0,408.34,1118.7,31.0,4229,33201,0,4,0.0656,Low,Medium,Low,136794.0,136.79,254.26,0.254,508520.0,0.509
Retail on North Garden Ridge Boulevard,retail,"Denton County, Texas",North Garden Ridge Boulevard,33.055921000000005,-97.03629505,22720.52526283458,14768.34,1371.978786,440680.0,440.68,1207.3,33.5,6357,37226,0,15,0.0975,Low,Medium,Low,147628.0,147.63,274.4,0.274,548800.0,0.549
Retail on Crescent Drive,retail,"Denton County, Texas",Crescent Drive,33.080689319835095,-96.86052432,34727.962800095185,22573.18,2097.048422,673572.0,673.57,1845.4,51.2,4606,37275,3,89,0.0728,Low,Medium,Medium,225647.0,225.65,419.41,0.419,838820.0,0.839
Retail on Morning Star Drive,retail,"Denton County, Texas",Morning Star Drive,33.080353902908186,-96.86155418,31143.45824389704,20243.25,1880.597925,604048.0,604.05,1654.9,45.9,4625,37200,3,88,0.0727,Low,Medium,Medium,202356.0,202.36,376.12,0.376,752240.0,0.752
Retail on Morning Star Drive,retail,"Denton County, Texas",Morning Star Drive,33.080986499999995,-96.8619691,24359.635957802195,15833.76,1470.956304,472471.0,472.47,1294.4,35.9,4757,37099,3,88,0.0738,Low,Medium,Medium,158278.0,158.28,294.19,0.294,588380.0,0.588
Retail on Crescent Drive,retail,"Denton County, Texas",Crescent Drive,33.08126127588047,-96.86117233,31834.438354987466,20692.38,1922.322102,617450.0,617.45,1691.6,46.9,4746,37158,3,88,0.0746,Low,Medium,Medium,206846.0,206.85,384.46,0.384,768920.0,0.769
Retail on Flower Mound Road,retail,"Denton County, Texas",Flower Mound Road,33.01120269709367,-97.04411661,38584.53534183183,25079.95,2329.927355,748373.0,748.37,2050.3,56.9,3633,38089,0,6,0.0588,Low,Low,Low,250705.0,250.7,465.99,0.466,931980.0,0.932
Founders Classical Academy office,office,"Denton County, Texas",Bellaire Boulevard,33.02713293213669,-97.01512384,20661.513870230825,13429.98,1247.645142,400744.0,400.74,1097.9,30.5,6756,44638,1,25,0.1032,Low,Medium,Low,134249.0,134.25,249.53,0.25,499060.0,0.499
Retail on Main Street,retail,"Denton County, Texas",Main Street,33.150352105108546,-96.89009594,25371.18193274144,16491.27,1532.038983,492091.0,492.09,1348.2,37.4,4816,35689,1,7,0.0748,Low,Medium,Low,164850.0,164.85,306.41,0.306,612820.0,0.613
Retail on Main Street,retail,"Denton County, Texas",Main Street,33.15027753174803,-96.88926295,66082.57213,42953.67,3990.395943,1281715.0,1281.71,3511.5,97.5,4846,35714,1,8,0.0802,Medium,Medium,Low,429375.0,429.38,798.08,0.798,1596160.0,1.596
Retail on South Loop 288,retail,"Denton County, Texas",South Loop 288,33.19523409894784,-97.09502864,23276.194180238068,15129.53,1405.533337,451457.0,451.46,1236.9,34.3,2698,27689,5,19,0.043,Low,Low,Medium,151238.0,151.24,281.11,0.281,562220.0,0.562
Kroger,retail,"Denton County, Texas",South Loop 288,33.19523133687812,-97.09574325,69631.05553493934,45260.19,4204.671651,1350541.0,1350.54,3700.1,102.7,2735,27908,5,19,0.0491,Medium,Low,Medium,452431.0,452.43,840.93,0.841,1681860.0,1.682
Main Event Entertainment,retail,"Denton County, Texas",Lakeway Drive,33.01330851797176,-96.97610516,56143.94673827612,36493.57,3390.252653,1088949.0,1088.95,2983.4,82.8,6258,37866,9,20,0.1,Medium,Medium,Medium,364798.0,364.8,678.05,0.678,1356100.0,1.356
Retail on South Loop 288,retail,"Denton County, Texas",South Loop 288,33.19441374170005,-97.09267578,22273.57818,14477.83,1344.990407,432011.0,432.01,1183.6,32.8,2609,26859,5,20,0.0416,Low,Low,Medium,144724.0,144.72,269.0,0.269,538000.0,0.538
Retail on South Loop 288,retail,"Denton County, Texas",South Loop 288,33.193538658270406,-97.09261811,24724.320266435305,16070.81,1492.978249,479545.0,479.54,1313.8,36.5,2617,26789,5,20,0.042,Low,Low,Medium,160648.0,160.65,298.6,0.299,597200.0,0.597
Retail on South Loop 288,retail,"Denton County, Texas",South Loop 288,33.19335441190782,-97.10001525,25956.745775953703,16871.88,1567.397652,503448.0,503.45,1379.3,38.3,3098,29058,7,19,0.0493,Low,Low,Medium,168655.0,168.66,313.48,0.313,626960.0,0.627
Sprouts Farmers Market,supermarket,"Denton County, Texas",East Hebron Parkway,33.02551252796113,-96.88863218,27124.22868323294,17630.75,1637.896675,526092.0,526.09,1441.3,40.0,6518,53430,1,23,0.1004,Low,Medium,Low,176241.0,176.24,327.58,0.328,655160.0,0.655
Retail on Main Street,retail,"Denton County, Texas",Main Street,33.08148041801083,-96.89097201,59004.743867783945,38353.08,3563.001132,1144436.0,1144.44,3135.4,87.0,3141,29179,4,31,0.0539,Medium,Low,Medium,383386.0,383.39,712.6,0.713,1425200.0,1.425
Retail on Main Street,retail,"Denton County, Texas",Main Street,33.08289735178003,-96.89200561,40763.35802862636,26496.18,2461.495122,790632.0,790.63,2166.1,60.1,3124,28406,4,31,0.0514,Low,Low,Medium,264862.0,264.86,492.3,0.492,984600.0,0.985
Kroger,retail,"Denton County, Texas",Little Elm Parkway,33.17047407810055,-96.89137205,121400.22410696706,78910.15,7330.752934999999,2354638.0,2354.64,6451.1,179.0,5344,35522,1,7,0.0942,Medium,Medium,Low,788804.0,788.8,1466.15,1.466,2932300.0,2.932
Retail on Little Elm Parkway,retail,"Denton County, Texas",Little Elm Parkway,33.17056373425843,-96.89026149,21081.17691697355,13702.76,1272.986404,408883.0,408.88,1120.2,31.1,5343,35606,1,7,0.0822,Low,Medium,Low,136976.0,136.98,254.6,0.255,509200.0,0.509
Goody Goody Liquor,retail,"Denton County, Texas",Farm-to-Market Road 423,33.16979202551086,-96.88790924,32306.58897215413,20999.28,1950.833112,626608.0,626.61,1716.7,47.6,5230,35851,1,7,0.0818,Low,Medium,Low,209914.0,209.91,390.17,0.39,780340.0,0.78
Gold's Gym,retail,"Denton County, Texas",East Eldorado Parkway,33.17580464532385,-96.88884541,32398.20593132085,21058.83,1956.365307,628385.0,628.38,1721.6,47.8,5892,34646,0,7,0.0917,Low,Medium,Low,210509.0,210.51,391.27,0.391,782540.0,0.783
Hobby Lobby,retail,"Denton County, Texas",Stone Meadow Drive,33.17727943753367,-96.89043077,55648.91118245666,36171.79,3360.359291,1079347.0,1079.35,2957.1,82.1,6035,34143,0,6,0.0966,Medium,Medium,Low,361581.0,361.58,672.07,0.672,1344140.0,1.344
Retail on East Eldorado Parkway,retail,"Denton County, Texas",East Eldorado Parkway,33.17633756394472,-96.89026649,36027.328492665314,23417.76,2175.509904,698774.0,698.77,1914.4,53.1,5956,34394,0,7,0.0931,Low,Medium,Low,234089.0,234.09,435.1,0.435,870200.0,0.87
Retail on Flower Mound Road,retail,"Denton County, Texas",Flower Mound Road,33.01306068676481,-97.06908177,20565.09946597303,13367.31,1241.823099,398874.0,398.87,1092.8,30.3,3523,28848,0,3,0.055,Low,Low,Low,133623.0,133.62,248.36,0.248,496720.0,0.497
Retail on Long Prairie Road,retail,"Denton County, Texas",Long Prairie Road,33.01137022426982,-97.07005149,39014.72048781812,25359.57,2355.904053,756716.0,756.72,2073.2,57.5,3396,27947,0,3,0.0553,Low,Low,Low,253500.0,253.5,471.18,0.471,942360.0,0.942
Parkview Commerce Center,warehouse,"Denton County, Texas",Spinks Road,32.99803449937513,-97.04500023,83532.71549,54296.27,5044.123482999999,1620172.0,1620.17,4438.8,123.2,1845,30908,0,8,0.0375,Medium,Low,Low,542758.0,542.76,1008.82,1.009,2017640.0,2.018
Warehouse on Spinks Road,warehouse,"Denton County, Texas",Spinks Road,32.99825511071537,-97.04302087,52999.03842792078,34449.37,3200.346473,1027951.0,1027.95,2816.3,78.2,1933,32034,0,9,0.0352,Medium,Low,Low,344364.0,344.36,640.07,0.64,1280140.0,1.28
Warehouse on Gerault Road,warehouse,"Denton County, Texas",Gerault Road,32.99698443531217,-97.04406442,137094.7478097875,89111.59,8278.466711,2659044.0,2659.04,7285.1,202.2,1807,30678,0,8,0.0434,Medium,Low,Low,890780.0,890.78,1655.69,1.656,3311380.0,3.311
Warehouse on Spinks Road,warehouse,"Denton County, Texas",Spinks Road,32.997282914356845,-97.0529772,293500.7862339306,190775.51,17723.044879,5692642.0,5692.64,15596.3,432.8,2029,27412,0,8,0.0654,High,Low,Low,1907035.0,1907.04,3544.61,3.545,7089220.0,7.089
Lisanti Foodservice,warehouse,"Denton County, Texas",Spinks Road,32.99754917479216,-97.06052364,168924.41550129856,109800.87,10200.500822999998,3276401.0,3276.4,8976.4,249.1,2695,25953,0,8,0.0604,High,Low,Low,1097594.0,1097.59,2040.1,2.04,4080200.0,4.08
Warehouse on Lakeside Parkway,warehouse,"Denton County, Texas",Lakeside Parkway,32.99586425000001,-97.06085085,188624.2180224777,122605.74,11390.073246,3658492.0,3658.49,10023.3,278.2,2690,25286,0,8,0.0627,High,Low,Low,1225595.0,1225.6,2278.01,2.278,4556020.0,4.556
Warehouse on Spinks Road,warehouse,"Denton County, Texas",Spinks Road,32.99684502530208,-97.05833225,411129.550764948,267234.21,24826.058109,7974130.0,7974.13,21846.9,606.3,2461,26080,0,8,0.086,High,Low,Low,2671334.0,2671.33,4965.21,4.965,9930420.0,9.93
Warehouse on Spinks Road,warehouse,"Denton County, Texas",Spinks Road,32.99681869213707,-97.05572412,458710.3734403621,298161.74,27699.225646,8896991.0,8896.99,24375.3,676.5,2232,26554,0,8,0.0882,High,Low,Low,2980492.0,2980.49,5539.85,5.54,11079700.0,11.08
Warehouse on Lakeside Parkway,warehouse,"Denton County, Texas",Lakeside Parkway,32.99547622479968,-97.05331142,90117.98789987197,58576.69,5441.774501,1747898.0,1747.9,4788.8,132.9,2069,26474,0,8,0.0416,Medium,Low,Low,585546.0,585.55,1088.35,1.088,2176700.0,2.177
The Home Depot,retail,"Denton County, Texas",Long Prairie Road,32.99258524821769,-97.06065564,104510.82167109754,67932.03,6310.885587,2027056.0,2027.06,5553.6,154.1,2569,24163,0,7,0.0508,Medium,Low,Low,679064.0,679.06,1262.18,1.262,2524360.0,2.524
Warehouse on Enterprise Drive,warehouse,"Denton County, Texas",Enterprise Drive,32.99169527446261,-97.03213836,336462.1211,218700.38,20317.265302,6525906.0,6525.91,17879.2,496.2,2138,34303,2,9,0.0722,High,Low,Low,2186179.0,2186.18,4063.45,4.063,8126900.0,8.127
Warehouse on Enterprise Drive,warehouse,"Denton County, Texas",Enterprise Drive,32.99114024631484,-97.02990396,473431.8114723411,307730.68,28588.180172,9182523.0,9182.52,25157.6,698.2,2212,34934,2,9,0.0897,High,Low,Low,3076145.0,3076.14,5717.64,5.718,11435280.0,11.435
Warehouse on Gerault Road,warehouse,"Denton County, Texas",Gerault Road,32.99664250981292,-97.04778142,255452.57162043647,166044.17,15425.503393,4954672.0,4954.67,13574.4,376.7,1782,28863,0,8,0.0572,High,Low,Low,1659815.0,1659.82,3085.1,3.085,6170200.0,6.17
Warehouse on Garden Ridge Boulevard,warehouse,"Denton County, Texas",Garden Ridge Boulevard,32.99487517975288,-97.03558261,758128.4429054009,492783.49,45779.586221,14704403.0,14704.4,40286.0,1118.0,2032,34382,0,9,0.1211,High,Low,Low,4925975.0,4925.98,9155.92,9.156,18311840.0,18.312
Warehouse on Lakeside Parkway,warehouse,"Denton County, Texas",Lakeside Parkway,32.99549114425137,-97.04857138,35588.26050049159,23132.37,2148.997173,690258.0,690.26,1891.1,52.5,1820,27893,0,8,0.0314,Low,Low,Low,231236.0,231.24,429.8,0.43,859600.0,0.86
Warehouse on Spinks Road,warehouse,"Denton County, Texas",Spinks Road,32.99792646084012,-97.04790843,140972.68777384187,91632.25,8512.636025,2734259.0,2734.26,7491.1,207.9,1815,29587,0,8,0.0439,Medium,Low,Low,915977.0,915.98,1702.53,1.703,3405060.0,3.405
Warehouse on Lakeside Parkway,warehouse,"Denton County, Texas",Lakeside Parkway,32.99651850000001,-97.0505115,109535.71061523409,71198.21,6614.313709,2124518.0,2124.52,5820.6,161.5,1901,27776,0,8,0.0415,Medium,Low,Low,711714.0,711.71,1322.86,1.323,2645720.0,2.646
Warehouse on Lakeside Parkway,warehouse,"Denton County, Texas",Lakeside Parkway,32.99575174884908,-97.04328483,154702.4075034727,100556.56,9341.704424,3000555.0,3000.56,8220.7,228.1,1780,30231,0,9,0.0451,Medium,Low,Low,1005186.0,1005.19,1868.34,1.868,3736680.0,3.737
Warehouse on Garden Ridge Boulevard,warehouse,"Denton County, Texas",Garden Ridge Boulevard,32.99546528567233,-97.03855345,267744.0809905668,174033.65,16167.726084999998,5193074.0,5193.07,14227.6,394.9,1923,32779,0,9,0.0608,High,Low,Low,1739680.0,1739.68,3233.55,3.234,6467100.0,6.467
Warehouse on Spinks Road,warehouse,"Denton County, Texas",Spinks Road,32.997754370856946,-97.03972986,652725.3365375027,424271.47,39414.819563,12660040.0,12660.04,34685.0,962.6,2040,33741,0,9,0.1086,High,Low,Low,4241113.0,4241.11,7882.96,7.883,15765920.0,15.766
Warehouse on Spinks Road,warehouse,"Denton County, Texas",Spinks Road,32.997738,-97.051187,62476.26139334328,40609.57,3772.629053,1211768.0,1211.77,3319.9,92.1,1930,28215,0,8,0.0363,Medium,Low,Low,405942.0,405.94,754.53,0.755,1509060.0,1.509
Warehouse on Lakeside Parkway,warehouse,"Denton County, Texas",Lakeside Parkway,32.99554644,-97.05070493,86278.14862235653,56080.8,5209.90632,1673422.0,1673.42,4584.7,127.2,1923,27186,0,8,0.039,Medium,Low,Low,560596.0,560.6,1041.98,1.042,2083960.0,2.084
Warehouse on Lakeside Parkway,warehouse,"Denton County, Texas",Lakeside Parkway,32.99549431477679,-97.0473349,48761.00244266166,31694.65,2944.432985,945752.0,945.75,2591.1,71.9,1770,28350,0,8,0.0322,Medium,Low,Low,316827.0,316.83,588.89,0.589,1177780.0,1.178
Warehouse on Gerault Road,warehouse,"Denton County, Texas",Gerault Road,32.991113064174286,-97.04654122,101114.97457165616,65724.73,6105.827417,1961192.0,1961.19,5373.1,149.1,1790,26171,1,8,0.0388,Medium,Low,Low,656999.0,657.0,1221.17,1.221,2442340.0,2.442
Warehouse on Gerault Road,warehouse,"Denton County, Texas",Gerault Road,32.99275174626667,-97.04730998,297280.5358553044,193232.35,17951.285315,5765953.0,5765.95,15797.1,438.4,1797,26809,1,8,0.0624,High,Low,Low,1931594.0,1931.59,3590.26,3.59,7180520.0,7.181
Warehouse on Lakeside Parkway,warehouse,"Denton County, Texas",Lakeside Parkway,32.994139399999995,-97.04752135,154341.7047310187,100322.11,9319.924019,2993560.0,2993.56,8201.5,227.6,1793,27508,0,8,0.0452,Medium,Low,Low,1002843.0,1002.84,1863.98,1.864,3727960.0,3.728
Warehouse on Lakeside Parkway,warehouse,"Denton County, Texas",Lakeside Parkway,32.99284943414936,-97.03971155,268036.29238499206,174223.59,16185.371511,5198741.0,5198.74,14243.1,395.3,1888,30116,1,9,0.0603,High,Low,Low,1741578.0,1741.58,3237.07,3.237,6474140.0,6.474
Warehouse on Lakeside Parkway,warehouse,"Denton County, Texas",Lakeside Parkway,32.991053349999994,-97.03759745,354495.8994594291,230422.33,21406.234457,6875683.0,6875.68,18837.5,522.8,1951,30189,1,9,0.0716,High,Low,Low,2303354.0,2303.35,4281.25,4.281,8562500.0,8.562
Warehouse on Lakeside Parkway,warehouse,"Denton County, Texas",Lakeside Parkway,32.989864254019835,-97.03572987,238230.36394870188,154849.74,14385.540845999998,4620636.0,4620.64,12659.3,351.3,2004,30538,1,9,0.0584,High,Low,Low,1547913.0,1547.91,2877.11,2.877,5754220.0,5.754
Warehouse on Henrietta Creek Road,warehouse,"Denton County, Texas",Henrietta Creek Road,32.99169472505466,-97.23761693,449933.2615784709,292456.62,27169.219998,8726753.0,8726.75,23908.9,663.5,1670,13683,1,3,0.0788,High,Low,Low,2923462.0,2923.46,5433.84,5.434,10867680.0,10.868
Retail on East State Highway 114,retail,"Denton County, Texas",East State Highway 114,32.99410733427936,-97.19371662,21504.70826649132,13978.06,1298.561774,417098.0,417.1,1142.7,31.7,1155,10255,1,11,0.0198,Low,Low,Low,139728.0,139.73,259.71,0.26,519420.0,0.519
Retail on East State Highway 114,retail,"Denton County, Texas",East State Highway 114,32.99438399999999,-97.1945455,20081.941340171023,13053.26,1212.647854,389502.0,389.5,1067.1,29.6,1168,10275,1,11,0.0198,Low,Low,Low,130483.0,130.48,242.53,0.243,485060.0,0.485
Industrial on East Sam Lee Lane,industrial,"Denton County, Texas",East Sam Lee Lane,33.029413131552985,-97.25248378,205024.9076035873,133266.19,12380.429051,3976594.0,3976.59,10894.8,302.4,962,8356,1,5,0.0389,High,Low,Low,1332159.0,1332.16,2476.09,2.476,4952180.0,4.952
Industrial on Dale Earnhardt Way,industrial,"Denton County, Texas",Dale Earnhardt Way,33.027756600000004,-97.2533329,86862.87177007274,56460.87,5245.214823,1684763.0,1684.76,4615.8,128.1,983,8499,2,4,0.0251,Medium,Low,Low,564396.0,564.4,1049.04,1.049,2098080.0,2.098
Retail on Trophy Lake Drive,retail,"Denton County, Texas",Trophy Lake Drive,32.99894349650843,-97.20534857,36424.96365923739,23676.23,2199.521767,706486.0,706.49,1935.6,53.7,1549,10522,0,8,0.0275,Low,Low,Low,236673.0,236.67,439.9,0.44,879800.0,0.88
Market Street,retail,"Denton County, Texas",Long Prairie Road,33.037305189583215,-97.0679433,57863.62819234498,37611.36,3494.095344,1122303.0,1122.3,3074.8,85.3,4451,34613,0,4,0.0733,Medium,Medium,Low,375972.0,375.97,698.82,0.699,1397640.0,1.398
Retail on Long Prairie Road,retail,"Denton County, Texas",Long Prairie Road,33.06962299448575,-97.08195796,21988.49844538982,14292.52,1327.775108,426481.0,426.48,1168.4,32.4,1847,24369,2,3,0.0302,Low,Low,Low,142871.0,142.87,265.56,0.266,531120.0,0.531
Industrial on Justin Road,industrial,"Denton County, Texas",Justin Road,33.07245730628068,-97.07926126,30189.09490930847,19622.91,1822.968339,585537.0,585.54,1604.2,44.5,1972,24269,2,3,0.033,Low,Low,Low,196155.0,196.16,364.59,0.365,729180.0,0.729
Industrial on Justin Road,industrial,"Denton County, Texas",Justin Road,33.07261206868258,-97.07884994,31865.10636540191,20712.32,1924.174528,618045.0,618.04,1693.3,47.0,2000,24317,2,3,0.0336,Low,Low,Low,207045.0,207.04,384.83,0.385,769660.0,0.77
Retail on Flower Mound Road,retail,"Denton County, Texas",Flower Mound Road,33.012248210424275,-97.07227206,47855.64182267413,31106.17,2889.763193,928192.0,928.19,2543.0,70.6,3362,27312,0,2,0.0558,Medium,Low,Low,310944.0,310.94,577.95,0.578,1155900.0,1.156
Industrial on South Interstate 35E,industrial,"Denton County, Texas",South Interstate 35E,33.13632322964559,-97.04350869,155173.67847671267,100862.89,9370.162481,3009696.0,3009.7,8245.7,228.8,2585,14678,1,7,0.0571,Medium,Low,Low,1008248.0,1008.25,1874.03,1.874,3748060.0,3.748
Commercial on Walton Drive,commercial,"Denton County, Texas",Walton Drive,33.155170290124545,-97.05960208,48771.75413135272,31701.64,2945.082356,945960.0,945.96,2591.7,71.9,2180,19855,3,9,0.0383,Medium,Low,Medium,316897.0,316.9,589.02,0.589,1178040.0,1.178
Industrial on Shell Beach Drive,industrial,"Denton County, Texas",Shell Beach Drive,33.14927050000001,-96.946574,93276.41985908632,60629.67,5632.496343,1809158.0,1809.16,4956.6,137.6,2095,16011,0,4,0.0424,Medium,Low,Low,606068.0,606.07,1126.5,1.126,2253000.0,2.253
State Farm,retail,"Denton County, Texas",West Eldorado Parkway,33.15509697149513,-96.94356875,34405.32183497587,22363.46,2077.565434,667314.0,667.31,1828.3,50.7,2266,17825,4,4,0.0379,Low,Low,Medium,223550.0,223.55,415.51,0.416,831020.0,0.831
Retail on US Highway 380 East,retail,"Denton County, Texas",US Highway 380 East,33.222482592303145,-96.96183385,20984.03793820065,13639.62,1267.120698,406999.0,407.0,1115.1,30.9,1342,13348,1,3,0.0225,Low,Low,Low,136345.0,136.34,253.42,0.253,506840.0,0.507
Warehouse on Gateway Drive,warehouse,"Denton County, Texas",Gateway Drive,33.09761125998873,-97.21583605,52030.15162296296,33819.6,3141.84084,1009159.0,1009.16,2764.8,76.7,823,6182,0,1,0.0185,Medium,Low,Low,338068.0,338.07,628.37,0.628,1256740.0,1.257
Commercial on US Highway 380 East,commercial,"Denton County, Texas",US Highway 380 East,33.219959001164334,-96.93394567,57389.68492412258,37303.3,3465.4765700000003,1113111.0,1113.11,3049.6,84.6,3352,20888,0,6,0.0568,Medium,Low,Low,372892.0,372.89,693.1,0.693,1386200.0,1.386
Warehouse on Cooper Creek Road,warehouse,"Denton County, Texas",Cooper Creek Road,33.238242324208564,-97.08154546,30060.173317555986,19539.11,1815.183319,583037.0,583.04,1597.4,44.3,1170,15669,0,6,0.021,Low,Low,Low,195317.0,195.32,363.04,0.363,726080.0,0.726
Warehouse on Cooper Creek Road,warehouse,"Denton County, Texas",Cooper Creek Road,33.23651505152899,-97.08158659,33544.33102997522,21803.82,2025.574878,650615.0,650.62,1782.5,49.5,1230,15996,0,6,0.0224,Low,Low,Low,217956.0,217.96,405.11,0.405,810220.0,0.81
Industrial on Geesling Road,industrial,"Denton County, Texas",Geesling Road,33.237826766382504,-97.07431469,493076.5527721711,320499.76,29774.427704,9563546.0,9563.55,26201.5,727.2,510,13266,0,5,0.0667,High,Low,Low,3203788.0,3203.79,5954.89,5.955,11909780.0,11.91
Office on Long Prairie Road,office,"Denton County, Texas",Long Prairie Road,33.052449528076544,-97.07479911,21116.05501771324,13725.44,1275.093376,409560.0,409.56,1122.1,31.1,3574,31076,0,3,0.0558,Low,Low,Low,137203.0,137.2,255.02,0.255,510040.0,0.51
Retail on Flower Mound Heritage Walk,retail,"Denton County, Texas",Flower Mound Heritage Walk,33.064083248575535,-97.08299443,366475.6495269053,238209.17,22129.631893,7108038.0,7108.04,19474.1,540.5,2012,25541,2,3,0.0739,High,Low,Low,2381193.0,2381.19,4425.93,4.426,8851860.0,8.852
Winkids Athletics,retail,"Denton County, Texas",Waketon Road,33.06038040559059,-97.07766644,30281.75699139012,19683.14,1828.563706,587335.0,587.34,1609.1,44.7,2608,28397,1,3,0.0425,Low,Low,Low,196757.0,196.76,365.71,0.366,731420.0,0.731
Retail on Long Prairie Road,retail,"Denton County, Texas",Long Prairie Road,33.063374471629565,-97.08029737,21389.136496519528,13902.94,1291.583126,414857.0,414.86,1136.6,31.5,2171,26643,2,3,0.0349,Low,Low,Low,138977.0,138.98,258.32,0.258,516640.0,0.517
Retail on Frontage Road,retail,"Denton County, Texas",Frontage Road,33.08189922395742,-97.02481511,20057.19379174729,13037.18,1211.154022,389023.0,389.02,1065.8,29.6,2412,22274,0,13,0.0384,Low,Low,Low,130323.0,130.32,242.23,0.242,484460.0,0.484
