name,building,county,Nearest_Street,latitude,longitude,Building_Sq_Ft,Roof_Sq_Ft
Industrial on Regent Boulevard,industrial,"Dallas County, Texas",Regent Boulevard,32.93904705,-97.01727705,453839.7464280425,294995.84
FedEx,warehouse,"Dallas County, Texas",North Airfield Drive,32.91450783826509,-97.01844748,60056.46472684382,39036.7
FedEx,warehouse,"Dallas County, Texas",North Airfield Drive,32.91553992088468,-97.01965701,55385.12293343036,36000.33
Warehouse on Ambassador Row,warehouse,"Dallas County, Texas",Ambassador Row,32.81483290515125,-96.87480536,243802.21969782465,158471.44
Warehouse on Leston Street,warehouse,"Dallas County, Texas",Leston Street,32.81197844,-96.89733068,195097.44416456044,126813.34
Warehouse on Leston Street,warehouse,"Dallas County, Texas",Leston Street,32.81204113135513,-96.8958536,81699.69222996803,53104.8
Warehouse on Leston Street,warehouse,"Dallas County, Texas",Leston Street,32.81101001294212,-96.89584495,39702.11598541066,25806.38
Warehouse on Leston Street,warehouse,"Dallas County, Texas",Leston Street,32.81190119711152,-96.89668543,89597.85067451894,58238.6
Warehouse on Leston Street,warehouse,"Dallas County, Texas",Leston Street,32.81191646589874,-96.8985176,193204.77869061168,125583.11
Warehouse on Regal Row,warehouse,"Dallas County, Texas",Regal Row,32.81119069696293,-96.8994437,93335.85829420957,60668.31
Warehouse on Regal Row,warehouse,"Dallas County, Texas",Regal Row,32.81263399536768,-96.89941718,95159.60983156432,61853.75
Commercial on Pulaski Street,commercial,"Dallas County, Texas",Pulaski Street,32.80974138980791,-96.87688576,468596.4537661928,304587.69
Warehouse on Pulaski Street,warehouse,"Dallas County, Texas",Pulaski Street,32.81036092270503,-96.87859234,238311.5797027893,154902.53
Commercial on Reading Street,commercial,"Dallas County, Texas",Reading Street,32.80520959999999,-96.86378435,159363.47027590364,103586.26
Salvation Army,retail,"Dallas County, Texas",Harry Hines Boulevard,32.81615889461571,-96.84047504,81754.32900967347,53140.31
Renaissance Tower,commercial,"Dallas County, Texas",Elm Street,32.78129671598092,-96.80183501,34809.54125262302,22626.2
Dallas World Aquarium,commercial,"Dallas County, Texas",North Griffin Street,32.78333881300506,-96.80523402,33802.67779408856,21971.74
Industrial on East Wintergreen Road,industrial,"Dallas County, Texas",East Wintergreen Road,32.63562444711736,-96.69574889,622290.8945421611,404489.08
Commercial on Woodhollow Drive,commercial,"Dallas County, Texas",Woodhollow Drive,32.68216179954622,-96.8649961,27891.664033775785,18129.58
Southwest Center Mall,retail,"Dallas County, Texas",West Camp Wisdom Road,32.65942461626037,-96.87733865,504831.7955424896,328140.67
Warehouse on Trinity Ridge Drive,warehouse,"Dallas County, Texas",Trinity Ridge Drive,32.808684228751474,-97.03248106,271633.3905,176561.7
Warehouse on Trinity Boulevard,warehouse,"Dallas County, Texas",Trinity Boulevard,32.81095835,-97.03257495,504905.057668112,328188.29
Warehouse on East Trinity Boulevard,warehouse,"Dallas County, Texas",East Trinity Boulevard,32.79971,-96.9974759,588549.7278453921,382557.32
Warehouse on East Trinity Boulevard,warehouse,"Dallas County, Texas",East Trinity Boulevard,32.797414450000005,-96.9975765,401669.8956981471,261085.43
Commercial on Harry Hines Boulevard,commercial,"Dallas County, Texas",Harry Hines Boulevard,32.80709802053299,-96.83019617,40822.96872468175,26534.93
