name,building,Building_Sq_Ft,county,latitude,longitude
,warehouse,247897.49866981985,"Dallas County, Texas",32.75347408730543,-96.88185427
Central Garden & Pet,warehouse,480799.8505287462,"Dallas County, Texas",32.75117508,-96.88591632
,warehouse,137414.44771634464,"Dallas County, Texas",32.750947215381984,-96.89016398
,warehouse,321238.5732948951,"Dallas County, Texas",32.751871687191134,-96.87825208
,warehouse,557957.7512520248,"Dallas County, Texas",32.762868707232506,-96.88684152
,warehouse,176863.51843727927,"Dallas County, Texas",32.773586723406474,-96.85962281
,warehouse,96744.84189943096,"Dallas County, Texas",32.773591974441246,-96.86156945
,warehouse,85405.67211959967,"Dallas County, Texas",32.77424026367785,-96.86309829
Town East Mall,retail,802542.5875746203,"Dallas County, Texas",32.80762585819485,-96.62365783
,commercial,102669.19645852811,"Dallas County, Texas",32.834051770390296,-96.69981789
,commercial,20999.38163397491,"Dallas County, Texas",32.83391393172633,-96.70120607
,commercial,63067.50265883527,"Dallas County, Texas",32.83500174,-96.70206281
,commercial,51226.45739606969,"Dallas County, Texas",32.77754405,-96.79947765
,commercial,27010.584985512898,"Dallas County, Texas",32.77733802295295,-96.80176356
Three AT&T Plaza,commercial,38927.04735126692,"Dallas County, Texas",32.778886316845224,-96.7988024
Comerica Bank,commercial,58797.20712400137,"Dallas County, Texas",32.78161058,-96.7965282
Dallas Bus Station,commercial,41335.733946647415,"Dallas County, Texas",32.77837939485122,-96.80441582
,commercial,476874.13564118784,"Dallas County, Texas",32.76464387290466,-96.79451471
,warehouse,241763.0989476593,"Dallas County, Texas",32.76499174228774,-96.78503205
,retail,103192.44784891665,"Dallas County, Texas",32.972434,-97.0184165
,retail,63354.75675918217,"Dallas County, Texas",32.97242000000001,-97.016303
,retail,58152.63378562181,"Dallas County, Texas",32.97250525000001,-97.02368225
,warehouse,597958.5220008332,"Dallas County, Texas",32.975288334527036,-97.02157281
,retail,196811.34023710663,"Dallas County, Texas",32.97487304818557,-97.01641121
,warehouse,477126.4185,"Dallas County, Texas",32.92843195000001,-97.02563775
,warehouse,255462.25869722664,"Dallas County, Texas",32.92839055,-97.0222021
Amazon Fulfillment Center DFW8,warehouse,629454.5614024416,"Dallas County, Texas",32.93969044764095,-97.02836135
,warehouse,235971.34132557892,"Dallas County, Texas",32.93954259466779,-97.02484767
,warehouse,404517.49416568276,"Dallas County, Texas",32.943437050000014,-97.027206
,industrial,385976.6924109903,"Dallas County, Texas",32.94166262117937,-97.01865241
,industrial,182892.11529399006,"Dallas County, Texas",32.94120514484797,-97.01620798
Freeport Commerce,warehouse,51342.599300017035,"Dallas County, Texas",32.934396249999985,-97.01779065
,warehouse,153190.4712315709,"Dallas County, Texas",32.92845982008033,-97.02128999
,industrial,453839.7464280425,"Dallas County, Texas",32.93904705,-97.01727705
FedEx,warehouse,60056.46472684382,"Dallas County, Texas",32.91450783826509,-97.01844748
FedEx,warehouse,55385.12293343036,"Dallas County, Texas",32.91553992088468,-97.01965701
,warehouse,243802.21969782465,"Dallas County, Texas",32.81483290515125,-96.87480536
,warehouse,195097.44416456044,"Dallas County, Texas",32.81197844,-96.89733068
,warehouse,81699.69222996803,"Dallas County, Texas",32.81204113135513,-96.8958536
,warehouse,39702.11598541066,"Dallas County, Texas",32.81101001294212,-96.89584495
,warehouse,89597.85067451894,"Dallas County, Texas",32.81190119711152,-96.89668543
,warehouse,193204.77869061168,"Dallas County, Texas",32.81191646589874,-96.8985176
,warehouse,93335.85829420955,"Dallas County, Texas",32.81119069696293,-96.8994437
,warehouse,95159.60983156432,"Dallas County, Texas",32.81263399536768,-96.89941718
,commercial,468596.45376619283,"Dallas County, Texas",32.80974138980791,-96.87688576
,warehouse,238311.57970278934,"Dallas County, Texas",32.81036092270503,-96.87859234
,commercial,159363.47027590364,"Dallas County, Texas",32.80520959999999,-96.86378435
Salvation Army,retail,81754.32900967347,"Dallas County, Texas",32.81615889461571,-96.84047504
Renaissance Tower,commercial,34809.54125262302,"Dallas County, Texas",32.78129671598092,-96.80183501
Dallas World Aquarium,commercial,33802.67779408856,"Dallas County, Texas",32.78333881300506,-96.80523402
,industrial,622290.8945421611,"Dallas County, Texas",32.63562444711736,-96.69574889
,commercial,27891.664033775785,"Dallas County, Texas",32.68216179954622,-96.8649961
Southwest Center Mall,retail,504831.79554248956,"Dallas County, Texas",32.65942461626037,-96.87733865
,warehouse,271633.3905,"Dallas County, Texas",32.808684228751474,-97.03248106
,warehouse,504905.05766811204,"Dallas County, Texas",32.81095835,-97.03257495
,warehouse,588549.7278453921,"Dallas County, Texas",32.79971,-96.9974759
,warehouse,401669.89569814707,"Dallas County, Texas",32.797414450000005,-96.9975765
,commercial,40822.96872468175,"Dallas County, Texas",32.80709802053299,-96.83019617
,commercial,81150.26060923314,"Dallas County, Texas",32.807799815657766,-96.83071593
,office,49578.78900202052,"Dallas County, Texas",32.80856687464661,-96.84171779
,office,45097.16608970328,"Dallas County, Texas",32.80808858605867,-96.84063172
Trade Mart,commercial,342689.2558699561,"Dallas County, Texas",32.80364562854789,-96.82667307
Medieval Times Dinner & Tournament,commercial,67062.62013,"Dallas County, Texas",32.79981647762618,-96.823306
,office,31255.953147410244,"Dallas County, Texas",32.797193017726244,-96.80592193
,commercial,24801.191133912598,"Dallas County, Texas",32.793608711052094,-96.80391195
,retail,36122.42499936482,"Dallas County, Texas",32.793207908112116,-96.80213444
Federal Reserve Bank of Dallas,office,123283.41989558974,"Dallas County, Texas",32.79200129306093,-96.80033693
Meyerson Symphony Center,commercial,68936.32986305238,"Dallas County, Texas",32.789908318751614,-96.79862058
,office,30697.894875897855,"Dallas County, Texas",32.787530052206144,-96.80228858
International Conference & Exposition Center,commercial,96906.85737857886,"Dallas County, Texas",32.78462681513812,-96.79567529
1600 Pacific Tower,office,28478.170672701523,"Dallas County, Texas",32.78189876320732,-96.79890155
,commercial,29870.90775177837,"Dallas County, Texas",32.78212291197782,-96.80195056
,commercial,78229.1463,"Dallas County, Texas",32.78230693059285,-96.80076199
Target,retail,130117.18122095258,"Dallas County, Texas",32.80373776116123,-96.79155197
Ross,retail,28311.47540069445,"Dallas County, Texas",32.80344310055348,-96.78908992
Bryan Tower,commercial,30694.97417124063,"Dallas County, Texas",32.78530683818513,-96.79645249
Chase Tower,commercial,33864.50447570046,"Dallas County, Texas",32.78795302487753,-96.79664061
,commercial,152048.3856945939,"Dallas County, Texas",32.76472031351149,-96.90392482
,commercial,33071.89656410179,"Dallas County, Texas",32.763458580864466,-96.90402104
,retail,30050.220532161537,"Dallas County, Texas",32.762832576853235,-96.9003382
,commercial,37787.094468409174,"Dallas County, Texas",32.76284409369541,-96.89938553
Walmart Supercenter,retail,221862.3372550296,"Dallas County, Texas",32.76263111254441,-96.89727267
,retail,25712.308249711135,"Dallas County, Texas",32.762678981796704,-96.8957837
,warehouse,581638.9967393731,"Dallas County, Texas",32.77350279536714,-96.88852399
,warehouse,315021.31065948063,"Dallas County, Texas",32.772588821896434,-96.88168065
